,ticker,company_name,offer_price,price_range_higher_bound,price_range_lower_bound,first_day_trading_price,days,top_tier_dummy,positive_eps_dummy,prior_nasdaq_15day_returns,share_overhang,up_revision,sales,number_of_sentences,number_of_words,number_of_real_words,number_of_long_sentences,number_of_long_words,number_of_positive_words,number_of_negative_words,number_of_uncertain_words,pre_IPO_price_revision,post_IPO_initial_return
0,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,10.0,9.5,8.5,11.8699998855591,122.0,1.0,0.6,0.029074273483673547,40962052.0,10600000.0,51.345,470.0,12719.0,11560.0,301.0,690.0,62.0,117.0,139.0,0,1
1,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,8.0,10.0,8.0,7.25,152.75,0.0,-1.62,-0.013351642245815755,28869196.0,2400000.0,25.936,791.0,21792.0,19585.0,510.0,1120.0,71.0,242.0,237.0,1,0
2,ACAD,ACADIA PHARMACEUTICALS INC,7.0,14.0,12.0,6.69999980926514,90.0,1.0,-1.24,0.02071500183158597,16845668.0,5000000.0,7.378,201.0,5262.0,4785.0,128.0,325.0,61.0,33.0,60.0,1,0
3,ACHN,ACHILLION PHARMACEUTICALS INC,11.5,16.0,14.0,12.3900003433228,209.0,1.0,-0.91,0.020023137256796594,14848637.0,4500000.0,8.526,328.0,8259.0,7574.0,177.0,509.0,80.0,59.0,110.0,1,1
4,ACLI,AMERICAN COMMERCIAL LINES INC. ,21.0,21.0,19.0,21.0300006866455,80.0,1.0,0.07,-0.034894701316965815,30741716.0,8250000.0,632.298,572.0,14830.0,13176.0,336.0,720.0,67.0,149.0,167.0,0,1
5,ACOM,Ancestry.com Inc. ,13.5,14.5,12.5,14.1999998092651,94.0,1.0,0.06,-0.057556076660705446,42402916.0,7407407.0,197.591,510.0,17999.0,13934.0,328.0,815.0,62.0,96.0,181.0,0,1
6,ACOR,ACORDA THERAPEUTICS INC,6.0,13.0,11.0,6.71999979019165,128.0,1.0,-1.87,0.004105524336536758,19047022.0,5500000.0,5.146,495.0,15758.0,13953.0,379.0,698.0,82.0,106.0,135.0,1,1
7,ACRX,ACELRX PHARMACEUTICALS INC,5.0,14.0,12.0,4.55000019073486,91.0,0.0,-0.74,0.040619988496656566,19371750.0,8000000.0,500.45996229508165,334.0,11226.0,10056.0,276.0,-1.0,55.0,120.0,122.0,1,0
8,ACTV,ACTIVE NETWORK INC,15.0,18.0,16.0,15.8999996185303,100.0,1.0,-0.51,-0.02931592628539684,52982501.0,11000000.0,279.6,620.0,14813.0,13463.0,335.0,917.0,58.0,124.0,234.0,1,1
9,ACW,ACCURIDE CORP,9.0,19.0,17.0,0.0,106.0,1.0,1.49,-0.02492507736968316,33622690.0,11000000.0,494.008,385.0,9134.0,8107.0,198.0,459.0,81.0,90.0,147.0,1,0
10,ADKU,"ADCARE HEALTH SYSTEMS, INC",13.837666174298375,15.481190476190477,13.515044642857143,25.93476614935861,149.72878787878787,0.8590909090909091,1.7889040247678045,0.007282201411438542,49357759.34467456,12415194.229289941,500.45996229508165,332.0,7534.0,6747.0,169.0,263.0,51.0,65.0,74.0,1,1
11,ADLS,"Advanced Life Sciences Holdings, Inc.",5.0,9.0,8.0,6.0,99.0,1.0,-0.75,0.015487112031121256,17826801.0,7000000.0,0.32,253.0,5788.0,5200.0,138.0,385.0,29.0,41.0,70.0,1,1
12,ADZA,ADEZA BIOMEDICAL CORP,16.0,16.0,14.0,19.7000007629395,126.0,1.0,0.27,0.019731083271667373,15889841.0,3750000.0,26.499,206.0,5732.0,4963.0,141.0,259.0,21.0,43.0,80.0,0,1
13,AFFY,AFFYMAX INC,25.0,17.0,15.0,33.8800010681152,140.0,1.0,-2.19,-0.0063156046994000984,14310258.0,3700000.0,0.074,416.0,10562.0,9835.0,231.0,726.0,81.0,118.0,138.0,0,1
14,AGAM,"AGA Medical Holdings, Inc. ",14.5,16.0,15.0,14.6000003814697,152.75,1.0,0.18,0.023274685510332935,50025520.0,13750000.0,166.896,624.0,18633.0,16471.0,380.0,909.0,98.0,141.75,172.0,1,1
15,AH,R1 RCM INC. ,12.0,16.0,14.0,13.55,233.0,1.0,0.17,-0.013351642245815755,90015707.0,10000000.0,510.192,586.0,18142.0,15782.0,413.0,649.0,98.0,92.0,155.0,1,1
16,AHII,"ANIMAL HEALTH HOLDINGS, INC.",11.0,12.0,10.0,12.45,125.0,1.0,0.31,0.0002548563257563511,24333033.0,11800000.0,571.192,269.0,6456.0,5687.0,140.0,336.0,36.0,33.0,83.0,0,1
