,ticker,company_name,offer_price,price_range_higher_bound,price_range_lower_bound,first_day_trading_price,days,top_tier_dummy,positive_eps_dummy,prior_nasdaq_15day_returns,share_overhang,up_revision,sales,number_of_sentences,number_of_words,number_of_real_words,number_of_long_sentences,number_of_long_words,number_of_positive_words,number_of_negative_words,number_of_uncertain_words,pre_IPO_price_revision,post_IPO_initial_return
0,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,10.0,9.5,8.5,11.8699998855591,122.0,1.0,0.6,0.029074273483673547,344.71530668916444,3255.764119219941,3.7167731295512905,470.0,12719.0,11560.0,301.0,690.0,62.0,10.816653826391969,139.0,0,1
1,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,8.0,10.0,8.0,7.25,152.75,0.0,-1.62,-0.013351642245815755,306.76906525833544,1549.1933384829667,2.960063305195882,791.0,21792.0,19585.0,510.0,1120.0,71.0,15.556349186104045,237.0,1,0
2,ACAD,ACADIA PHARMACEUTICALS INC,7.0,14.0,12.0,6.69999980926514,90.0,1.0,-1.24,0.02071500183158597,256.347692435834,2236.06797749979,1.9467621041177294,201.0,5262.0,4785.0,128.0,325.0,61.0,5.744562646538029,60.0,1,0
3,ACHN,ACHILLION PHARMACEUTICALS INC,11.5,16.0,14.0,12.3900003433228,209.0,1.0,-0.91,0.020023137256796594,245.7888608498241,2121.3203435596424,2.0429062766895596,328.0,8259.0,7574.0,177.0,509.0,80.0,7.681145747868608,110.0,1,1
4,ACLI,AMERICAN COMMERCIAL LINES INC. ,21.0,21.0,19.0,21.0300006866455,80.0,1.0,0.07,-0.034894701316965815,313.263191884741,2872.281323269014,8.583029450600325,572.0,14830.0,13176.0,336.0,720.0,67.0,12.206555615733702,167.0,0,1
5,ACOM,Ancestry.com Inc. ,13.5,14.5,12.5,14.1999998092651,94.0,1.0,0.06,-0.057556076660705446,348.7106739142399,2721.655194913566,5.824460706394984,510.0,17999.0,13934.0,328.0,815.0,62.0,9.797958971132712,181.0,0,1
6,ACOR,ACORDA THERAPEUTICS INC,6.0,13.0,11.0,6.71999979019165,128.0,1.0,-1.87,0.004105524336536758,267.0601126183457,2345.207879911715,1.7264602911384075,495.0,15758.0,13953.0,379.0,698.0,82.0,10.295630140987,135.0,1,1
7,ACRX,ACELRX PHARMACEUTICALS INC,5.0,14.0,12.0,4.55000019073486,91.0,0.0,-0.74,0.040619988496656566,268.56924929249794,2828.42712474619,7.939438329350217,334.0,11226.0,10056.0,276.0,-1.0,55.0,10.954451150103322,122.0,1,0
8,ACTV,ACTIVE NETWORK INC,15.0,18.0,16.0,15.8999996185303,100.0,1.0,-0.51,-0.02931592628539684,375.5872304661966,3316.6247903554,6.539015834474111,620.0,14813.0,13463.0,335.0,917.0,58.0,11.135528725660043,234.0,1,1
9,ACW,ACCURIDE CORP,9.0,19.0,17.0,0.0,106.0,1.0,1.49,-0.02492507736968316,322.7583491622105,3316.6247903554,7.905172065803413,385.0,9134.0,8107.0,198.0,459.0,81.0,9.486832980505138,147.0,1,0
10,ADKU,"ADCARE HEALTH SYSTEMS, INC",13.837666174298375,15.481190476190477,13.515044642857143,25.93476614935861,149.72878787878787,0.8590909090909091,1.7889040247678045,0.007282201411438542,366.818991100974,3523.5201474221685,7.939438329350217,332.0,7534.0,6747.0,169.0,263.0,51.0,8.06225774829855,74.0,1,1
11,ADLS,"Advanced Life Sciences Holdings, Inc.",5.0,9.0,8.0,6.0,99.0,1.0,-0.75,0.015487112031121256,261.2308551861305,2645.7513110645905,0.6839903786706788,253.0,5788.0,5200.0,138.0,385.0,29.0,6.4031242374328485,70.0,1,1
12,ADZA,ADEZA BIOMEDICAL CORP,16.0,16.0,14.0,19.7000007629395,126.0,1.0,0.27,0.019731083271667373,251.40457918385835,1936.4916731037085,2.9813284769412656,206.0,5732.0,4963.0,141.0,259.0,21.0,6.557438524302,80.0,0,1
13,AFFY,AFFYMAX INC,25.0,17.0,15.0,33.8800010681152,140.0,1.0,-2.19,-0.0063156046994000984,242.7816290844532,1923.5384061671346,0.4198336453808408,416.0,10562.0,9835.0,231.0,726.0,81.0,10.862780491200215,138.0,0,1
14,AGAM,"AGA Medical Holdings, Inc. ",14.5,16.0,15.0,14.6000003814697,152.75,1.0,0.18,0.023274685510332935,368.4658168593997,3708.0992435478315,5.5057350645777845,624.0,18633.0,16471.0,380.0,909.0,98.0,11.905880899790658,172.0,1,1
15,AH,R1 RCM INC. ,12.0,16.0,14.0,13.55,233.0,1.0,0.17,-0.013351642245815755,448.1665432964245,3162.2776601683795,7.990572227335573,586.0,18142.0,15782.0,413.0,649.0,98.0,9.591663046625438,155.0,1,1
16,AHII,"ANIMAL HEALTH HOLDINGS, INC.",11.0,12.0,10.0,12.45,125.0,1.0,0.31,0.0002548563257563511,289.7780029131427,3435.1128074635335,8.297120014977867,269.0,6456.0,5687.0,140.0,336.0,36.0,5.744562646538029,83.0,0,1
17,AIMC,Altra Industrial Motion Corp. ,13.5,16.0,14.0,14.289999961853,77.0,1.0,0.14,-0.0063156046994000984,284.7472510393121,3162.2776601683795,7.136537171668973,391.0,11322.0,9589.0,247.0,603.0,72.0,11.575836902790225,133.0,1,1
18,AIRV,AIRVANA INC,7.0,10.0,8.0,7.17000007629395,92.0,1.0,1.18,0.036830796877746964,398.68223643189964,2880.972058177587,5.542589465738784,528.0,13516.0,12431.0,323.0,523.0,54.0,8.660254037844387,117.0,1,1
19,ALGT,Allegiant Travel CO ,18.0,17.0,15.0,25.1000003814697,207.0,1.0,0.63,-0.01269239188194706,267.0550228637119,2236.06797749979,5.098064112111082,512.0,11684.0,10189.0,267.0,429.0,52.0,8.831760866327848,91.0,0,1
20,ALIM,ALIMERA SCIENCES INC ,11.0,17.0,15.0,11.0,174.0,1.0,-1.43,0.045262646375410436,314.31042569371726,2559.2967784139455,7.939438329350217,473.0,13801.0,12500.0,296.0,768.0,66.0,11.661903789690601,182.0,1,0
21,ALJ,"Alon USA Energy, Inc. ",16.0,16.0,14.0,17.25,78.0,1.0,0.67,0.05404000937680397,356.21844103325225,3193.743884534262,7.939438329350217,591.0,14315.0,12418.0,353.0,675.0,57.0,8.54400374531753,88.0,0,1
22,ALLI,ALLION HEALTHCARE INC,13.0,14.0,12.0,16.5,68.0,1.0,-0.86,0.002545640136170962,228.27285994498928,2000.0,4.01258536064495,279.0,6569.0,5889.0,149.0,308.0,29.0,9.643650760992955,97.0,0,1
23,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",6.0,8.0,6.0,6.01000022888184,91.0,1.0,-0.75,0.03582773310561604,268.1600180480941,2236.06797749979,0.5604078661310774,248.0,6533.0,5977.0,150.0,384.0,58.0,6.244997998398398,100.0,1,1
24,ALTU,Altus Pharmaceuticals Inc. ,15.0,16.0,14.0,16.82,101.0,1.0,-1.39,-0.0017460164572123166,275.9009262482007,2645.7513110645905,1.5713656015695994,263.0,8601.0,7663.0,184.0,473.0,63.0,7.14142842854285,93.0,0,1
25,ALXA,Alexza Pharmaceuticals Inc. ,8.0,12.0,10.0,21.0300006866455,76.0,1.0,-0.75,-0.003957877372461608,282.9217070854354,2345.207879911715,1.3064765561724587,259.0,7830.0,7033.0,156.0,453.0,36.0,9.219544457292887,119.0,1,1
26,AMBA,AMBARELLA INC ,6.0,11.0,9.0,6.05999994277954,152.75,1.0,0.38,-0.037115500330326075,295.9053370899577,2449.489742783178,4.558720144561256,499.0,13534.0,12580.0,337.0,777.0,91.0,9.38083151964686,237.0,1,1
27,AMIS,AMIS HOLDINGS INC,20.0,20.0,18.0,20.1000003814697,40.0,1.0,-0.41,0.025763708515827013,415.75631569296,3476.666399009258,7.015760407387781,527.0,15006.0,0.0,334.0,809.0,46.0,13.45362404707371,167.0,0,1
28,AMRC,"Ameresco, Inc.",10.0,16.0,14.0,10.1700000762939,113.0,1.0,0.5,0.035642375510738435,343.1406688133281,2949.0371309971665,7.539149362158841,641.0,18484.0,16496.0,436.0,898.0,125.0,12.806248474865697,184.0,1,1
29,ANAC,"Anacor Pharmaceuticals, Inc.",5.0,18.0,16.0,5.09000015258789,75.0,1.0,-0.93,-0.015947285678912314,298.56435178435174,3464.1016151377544,2.651583247560567,403.0,12099.0,11038.0,281.0,626.0,103.0,10.099504938362077,162.0,1,1
30,ANFI,Amira Nature Foods Ltd. ,10.0,15.0,13.0,9.57999992370605,42.0,1.0,0.22,-0.037115500330326075,329.1666576795027,3000.0,6.358322936373558,578.0,16953.0,15176.0,378.0,885.0,81.0,9.327379053088816,169.0,1,0
31,ANGI,"Angie's List, Inc. ",13.0,13.0,11.0,16.2600002288818,84.0,1.0,-0.49,-0.03446512812118845,381.66156990793263,2965.3681053117166,3.8938540058118076,511.0,16279.0,13883.0,348.0,776.0,71.0,9.9498743710662,110.0,0,1
32,ANGO,ANGIODYNAMICS INC,11.0,14.0,12.0,12.5,83.0,0.0,0.13,0.02071500183158597,223.4043485951911,1396.4240043768941,3.374726086594793,329.0,7154.0,6296.0,175.0,384.0,47.0,6.855654600401044,94.0,1,1
33,AONE,"B456 SYSTEMS, INC. ",13.5,9.5,8.0,20.29,152.75,1.0,-0.75,0.08509670457922383,366.87863985951765,3476.666399009258,4.09213244370717,536.0,13374.0,12334.0,304.0,748.0,66.0,12.206555615733702,194.0,0,1
34,AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,18.0,20.0,16.0,17.7000007629395,29.0,1.0,-0.02,0.016442651117707995,280.57486062774706,2255.212850264915,5.698799377779708,388.0,12190.0,11085.0,274.0,677.0,56.0,10.770329614269007,160.0,0,0
35,APEI,AMERICAN PUBLIC EDUCATION INC,20.0,19.0,18.0,35.9199981689453,94.0,1.0,0.15,-0.012382727363617861,257.37381947468975,2165.0635094610966,3.4212338946830227,400.0,10135.0,9114.0,233.0,545.0,47.0,8.306623862918075,98.0,0,1
36,APKT,ACME PACKET INC,9.5,7.5,6.5,15.9099998474121,133.0,1.0,0.0,0.05647474671864434,384.19066504410245,3387.4072681034386,3.3055919880278135,547.0,14728.0,13418.0,345.0,841.0,60.0,12.206555615733702,176.0,0,1
37,ARAY,ACCURAY INC CIK,18.0,18.0,17.0,28.4699993133545,87.0,1.0,-0.64,0.016234824406075828,373.7587260595838,4000.0,3.7538508590304795,471.0,12754.0,11459.0,308.0,601.0,65.0,9.219544457292887,103.0,0,1
38,ARBX,ARBINET Corp,17.5,16.0,14.0,21.0300006866455,160.0,1.0,1.4,0.036866889518440776,289.17377590876816,2556.443819058029,8.041276250953295,322.0,7738.0,6866.0,186.0,342.0,35.0,7.745966692414834,125.0,0,1
39,ARCL,"Archipelago Learning, Inc.",16.5,17.0,15.0,18.7700004577637,78.0,1.0,0.04,0.05699491838087051,292.81724752706,2500.0,3.1770493310583547,535.0,17094.0,14915.0,347.0,927.0,78.0,9.16515138991168,157.0,0,1
40,ARCO,Arcos Dorados Holdings Inc. ,17.0,15.0,13.0,21.2,20.0,1.0,0.51,0.004669618127058825,366.87863985951765,3476.666399009258,7.939438329350217,572.0,17353.0,15234.0,430.0,917.0,84.0,12.0,125.0,0,1
41,AREX,Approach Resources Inc,12.0,16.0,14.0,12.5900001525879,119.0,1.0,1.08,-0.019999416118981355,269.7553843017685,2768.8746811656174,3.6004114756007946,326.0,7912.0,6987.0,195.0,365.0,30.0,8.246211251235321,94.0,1,1
42,ARII,"American Railcar Industries, Inc. ",21.0,18.0,16.0,22.9549999237061,38.0,1.0,0.09,0.02925670137266296,271.1372833296357,2915.4759474226503,8.472390230277346,657.0,18736.0,17202.0,438.0,923.0,111.0,11.905880899790658,262.0,0,1
43,ARP,"ARC DOCUMENT SOLUTIONS, INC.",13.0,16.0,14.0,13.75,112.0,1.0,1.7889040247678045,-0.006417682468154485,350.0915515604354,3653.765181289022,7.939438329350217,507.0,12468.0,11248.0,289.0,701.0,79.0,11.832159566199232,142.0,1,1
44,ARST,ArcSight Inc ,9.0,11.0,9.0,8.77999973297119,156.0,1.0,-0.01,-0.0008063218195906665,313.93869751375735,2619.5264839279635,4.118005286961122,547.0,17361.0,14536.0,360.0,860.0,56.0,12.489995996796797,194.0,1,0
45,ARTE,ARTES MEDICAL INC,6.0,14.0,12.0,7.67,222.0,1.0,-1.42,-0.004839837912175111,250.0498194047815,2144.7610589527217,7.939438329350217,280.0,8296.0,7337.0,178.0,514.0,37.0,8.774964387392123,106.0,1,1
46,ARUN,"ARUBA NETWORKS, INC.",11.0,10.0,8.0,14.1499996185303,102.0,1.0,-0.16,0.0283099533258931,421.9804015965129,2828.42712474619,4.1698329710522675,407.0,12387.0,11330.0,280.0,613.0,50.0,9.1104335791443,97.0,0,1
47,ASPV,Aspreva Pharmaceuticals CORP,11.0,15.0,13.0,14.79,39.0,1.0,-1.0,0.0027190288727909386,320.58609385711026,2683.281572999748,7.939438329350217,223.0,5079.0,4700.0,104.0,292.0,29.0,7.745966692414834,76.0,1,1
48,ATEC,"Alphatec Holdings, Inc. ",9.0,12.0,11.0,8.97999954223633,116.0,1.0,-0.75,-0.02246402239096419,326.3579411186473,3049.5901363953813,4.1984310088061605,550.75,15240.25,13751.5,353.75,794.5,84.75,11.905880899790658,173.0,1,0
49,ATHN,ATHENAHEALTH INC,18.0,16.0,14.0,35.5,90.0,1.0,-0.29,0.03469512390660059,316.1531564094954,2507.352986717267,4.2323466125008276,453.0,11688.0,10445.0,281.0,630.0,40.0,8.660254037844387,135.0,0,1
50,ATRC,"AtriCure, Inc.",12.0,14.0,12.0,14.0799999237061,107.0,1.0,-0.79,0.015487112031121256,228.31490548114937,2000.0,2.6757313049888642,248.0,6630.0,5936.0,153.0,410.0,51.0,7.3484692283495345,161.0,1,1
51,AUXL,AUXILIUM PHARMACEUTICALS INC ,7.5,9.0,8.0,7.19999980926514,93.0,1.0,-0.75,-0.05993323169635589,274.07236531435615,2345.207879911715,2.066279266037414,292.0,6340.0,5777.0,151.0,369.0,34.0,6.324555320336759,103.0,1,0
52,AVAV,AeroVironment Inc ,17.0,16.0,14.0,23.9300003051758,117.0,1.0,0.62,0.002756461109020153,262.83139641436924,2588.435821108957,5.184532439247379,328.0,9472.0,8162.0,209.0,380.0,59.0,7.681145747868608,81.0,0,1
53,AVEO,AVEO PHARMACEUTICALS INC,9.0,15.0,13.0,8.98999977111816,86.0,1.0,-1.49,0.049754821648229856,309.492165410044,3000.0,2.7465631997764826,449.0,14954.0,13497.0,312.0,819.0,99.0,9.899494936611665,189.0,1,0
54,AVGO,Broadcom Ltd ,15.0,15.0,13.0,16.1800003051758,152.75,1.0,0.35,0.059353423385064455,366.87863985951765,3476.666399009258,7.939438329350217,840.0,22107.0,19522.0,462.0,794.5,128.0,11.905880899790658,173.0,0,1
55,AVNC,"MiddleBrook Pharmaceuticals, Inc.",10.0,14.0,12.0,10.0,77.0,1.0,-0.75,0.08987183041029774,283.39578861564365,2449.489742783178,7.939438329350217,267.0,6877.0,6211.0,154.0,450.0,35.0,7.14142842854285,85.0,1,0
56,AVR,AVENTINE RENEWABLE ENERGY HOLDINGS INC,17.0,17.0,15.0,21.0300006866455,90.0,1.0,0.6,-0.01458233982616616,327.5585133295467,3009.725901141165,9.780092867024653,476.0,13269.0,11798.0,302.0,459.0,102.0,8.660254037844387,155.0,0,0
57,AVRX,AVALON PHARMACEUTICALS INC,10.5,12.0,10.0,9.48999977111816,149.0,0.0,-1.63,-0.02469393686831301,203.31925788678927,1658.3123951777,1.2385623296301707,270.0,6360.0,5780.0,146.0,356.0,63.0,6.164414002968976,72.0,1,0
58,AWAY,HOMEAWAY INC,27.0,17.0,15.0,21.0300006866455,110.0,1.0,0.21,0.01929958934297418,430.58115758747954,894.4271909999159,5.516578079382777,780.0,15240.25,22079.0,560.0,1173.0,124.0,12.529964086141668,173.0,0,1
59,AWK,"American Water Works Company, Inc.",21.0,17.0,15.0,20.6000003814697,238.0,1.0,-2.14,0.00430373527330501,366.87863985951765,3476.666399009258,7.939438329350217,783.0,21801.0,20113.0,498.0,1217.0,138.0,11.905880899790658,248.0,1,0
60,AYR,Aircastle LTD ,23.0,23.0,21.0,26.6000003814697,67.0,1.0,-0.02,0.012708623146163443,368.6066415831755,3015.1119382205366,3.2068213861337123,547.0,13486.0,12249.0,331.0,714.0,64.0,9.16515138991168,175.0,0,1
61,BAGL,EINSTEIN NOAH RESTAURANT GROUP INC,18.0,21.0,19.0,18.23,59.0,1.0,-0.66,0.002046754742247154,250.34817620155337,2236.06797749979,7.305906272803438,517.0,13075.0,11937.0,320.0,759.0,100.0,12.922847983320086,189.0,1,1
62,BAH,Booz Allen Hamilton Holding Corp,17.0,19.0,17.0,19.25,149.0,1.0,-0.47,-0.012062164680420817,366.87863985951765,3741.657386773941,7.939438329350217,632.0,20576.0,18272.0,468.0,1006.0,115.0,12.727922061357855,166.0,1,1
63,BALT,Baltic Trading Ltd ,14.0,16.0,14.0,13.960000038147,147.0,1.0,-0.75,0.04638015077402592,282.16471774522313,4037.32584763727,7.939438329350217,180.0,4348.0,4183.0,100.0,221.0,9.0,6.082762530298219,60.0,1,0
64,BARE,BARE ESCENTUALS INC,22.0,17.0,15.0,27.1499996185303,91.0,1.0,0.28,0.050890498603735436,443.1524510676604,4000.0,6.376730274919195,550.75,15240.25,13751.5,353.75,794.5,84.75,11.905880899790658,173.0,0,1
65,BAS,BASIC ENERGY SERVICES INC,20.0,12.0,11.0,21.5,152.75,1.0,0.46,0.01076544990065678,323.2780213836131,3535.5339059327375,6.778812367573518,548.0,12533.0,11201.0,292.0,650.0,76.0,11.269427669584644,126.0,0,1
66,BBBB,BLACKBOARD INC,14.0,15.0,13.0,20.0100002288818,105.0,1.0,-2.09,0.00549637470275211,293.05885122097857,2345.207879911715,4.522162277633039,388.0,10337.0,9215.0,240.0,552.0,33.0,7.483314773547883,89.0,0,1
67,BBG,BILL BARRETT CORP,25.0,23.0,20.0,29.0499992370605,238.0,1.0,-0.75,0.019731083271667373,345.8614110781929,3605.5512754639894,4.225319467457746,594.0,15381.0,13806.0,347.0,768.0,48.0,12.328828005937952,178.0,0,1
68,BBND,"BigBand Networks, Inc. ",13.0,12.0,10.0,17.0,83.0,1.0,0.16,-0.061579848740387674,385.1178994626052,3271.0854467592253,5.610693851561639,387.0,10581.0,9530.0,264.0,539.0,32.0,10.04987562112089,125.0,0,1
69,BBRG,"Bravo Brio Restaurant Group, Inc. ",14.0,16.0,14.0,15.9499998092651,111.0,1.0,0.18,0.03611721593918047,268.00542054826815,3162.2776601683795,6.78031359223388,467.0,11002.0,9842.0,267.0,555.0,77.0,9.9498743710662,124.0,1,1
70,BBW,BUILD A BEAR WORKSHOP INC,20.0,18.0,16.0,25.0499992370605,77.0,1.0,0.46,0.010983105662161895,269.39802788335265,2735.3244780098757,5.97836653707108,356.0,9137.0,8186.0,214.0,365.0,49.0,7.211102550927978,95.0,0,1
71,BCOV,BRIGHTCOVE INC,11.0,12.0,10.0,14.3000001907349,177.0,1.0,-0.75,0.051526532500396634,297.66722985034534,2236.06797749979,3.9185398212845337,619.0,16546.0,15111.0,394.0,943.0,47.0,11.090536506409418,191.0,0,1
72,BDAY,"CELEBRATE EXPRESS, INC",15.5,15.0,13.0,16.7000007629395,96.0,0.0,-0.34,0.018065909915302072,191.18732022611124,1788.8543819998317,3.3563923390720483,298.0,7231.0,6423.0,196.0,270.0,30.0,6.928203230275509,97.0,0,1
73,BDE,"Bois d Arc Energy, Inc. ",13.0,15.0,12.0,12.65,214.0,0.0,0.63,0.03228429921272611,400.3018554841998,3674.234614174767,5.23007717532144,334.0,8894.0,8060.0,218.0,469.0,33.0,10.344080432788601,98.0,1,0
74,BEAT,"CardioNet, Inc. ",18.0,20.0,18.0,17.7000007629395,215.0,1.0,0.6,-0.03834154622795221,284.5673624546795,2121.3203435596424,4.179186520878926,479.0,11080.0,9905.0,247.0,576.0,39.0,10.63014581273465,146.0,1,0
75,BECN,BEACON ROOFING SUPPLY INC,13.0,14.0,12.0,10.6599998474121,118.0,1.0,0.18,0.019835982850230017,297.60736468049447,3674.234614174767,8.240313087044944,391.0,9391.0,8434.0,219.0,422.0,57.0,8.94427190999916,94.0,0,0
76,BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC. ,22.0,21.0,19.0,28.3199996948242,93.0,1.0,0.13,0.010500794785178772,397.63419964126365,3178.0497164141407,10.231079114102046,467.0,16360.0,13826.0,351.0,742.0,61.0,8.774964387392123,250.0,0,1
77,BFRM,BIOFORM MEDICAL INC,8.0,11.0,9.0,8.55000019073486,79.0,1.0,-0.26,0.0111853044880828,354.62230543738633,3162.2776601683795,2.829367770300437,405.0,9017.0,8307.0,214.0,458.0,58.0,10.0,122.0,1,1
78,BHRT,"U.S. Stem Cell, Inc.",5.25,16.0,14.0,5.0,152.75,0.0,-0.7,-0.016128119258393494,243.55325627425952,1048.8088481701516,7.939438329350217,374.0,11812.0,10743.0,242.0,515.0,50.0,9.591663046625438,100.0,1,0
79,BIOD,"ALBIREO PHARMA, INC.",15.0,16.0,14.0,21.0300006866455,93.0,1.0,-1.68,0.003353816539135266,268.7497569134272,2236.06797749979,7.939438329350217,319.0,9399.0,8613.0,195.0,616.0,70.0,8.602325267042627,143.0,0,1
80,BIOF,"Green Brick Partners, Inc.",10.5,14.0,13.0,21.0300006866455,188.0,1.0,-0.03,0.0033405857511660856,319.1252149429954,2291.28784747792,7.939438329350217,250.0,6792.0,6380.0,167.0,341.0,35.0,7.0710678118654755,119.0,1,1
