,ticker,company_name,offer_price,price_range_higher_bound,price_range_lower_bound,first_day_trading_price,days,top_tier_dummy,positive_eps_dummy,prior_nasdaq_15day_returns,share_overhang,up_revision,sales,number_of_sentences,number_of_words,number_of_real_words,number_of_long_sentences,number_of_long_words,number_of_positive_words,number_of_negative_words,number_of_uncertain_words,pre_IPO_price_revision,post_IPO_initial_return
0,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,-0.6367411198851324,-0.9063021981094906,-0.8663967385487873,-0.19537258496209092,-0.18458965945765377,1.0,0.010374044416253099,0.6653860971014478,-0.08085281242441611,-0.0726099089832055,-0.2883333583691363,0.02487773496174892,-0.007278394473708751,0.03396861263552961,0.05476615438197216,0.022827764061094036,-0.1644871338572266,-0.03664809989868584,-0.08325563110212009,0,1
1,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,-0.9685787998529817,-0.8305395049034108,-0.9527765018658282,-0.2595486475596935,0.7274149855432237,0.0,-0.02154908810783079,-0.6300214432933361,-0.1973101134835891,-0.40061957541718884,-0.30464602420721587,1.854106709187528,1.6600473712771355,1.694576155962175,1.7769959349899491,0.9334195294895341,0.0660506304718246,1.4390706814994416,1.3334486800894376,1,0
2,ACAD,ACADIA PHARMACEUTICALS INC,-1.1344976398369062,-0.22443795925477245,-0.2617383953295016,-0.26718865785052104,-0.3976126422315813,1.0,-0.019146951403048236,0.41014909528003873,-0.3130997681432821,-0.29661651045031606,-0.3165603243616132,-1.508027542504714,-1.3776353034568507,-1.3679773195810463,-1.3708116065997504,-0.7501164089188609,-0.19010244100489895,-1.0283311209982275,-1.2252927799198043,1,0
3,ACHN,ACHILLION PHARMACEUTICALS INC,-0.3878628599092454,0.07861281356954675,0.08378065793866164,-0.18814929865151417,0.39456657495896186,1.0,-0.017060885317316025,0.389024116085041,-0.3323316882448281,-0.31661709986702236,-0.3158233043930148,-0.7843138984963839,-0.8268830362954618,-0.7908515328722596,-0.9670352465529041,-0.3604678395262261,0.29658839480087584,-0.721381614467417,-0.5024844578832953,1,1
4,ACLI,AMERICAN COMMERCIAL LINES INC. ,1.1883661199380386,0.8362397456303448,0.9475782911090698,0.42596838051778957,-0.4641823243484337,1.0,-0.010865901183929449,-1.2878043263282088,-0.17927726620753434,-0.16661267924172513,0.08464047596632941,0.6061280632204077,0.3806555514647937,0.3683663434786273,0.34317784012971947,0.08635742211424102,-0.036410598118864816,0.3411359081392348,0.321517029238325,0,1
5,ACOM,Ancestry.com Inc. ,-0.05602517994139614,-0.14867526604869263,-0.1753586320124608,-0.16300673546855363,-0.37098476938484043,1.0,-0.010929115307739516,-1.9797332096826878,-0.06697692300397447,-0.20031739251850675,-0.19444292080151118,0.252819040161223,0.963015890014824,0.5252187444557733,0.277255169101663,0.2875346726158731,-0.1644871338572266,-0.2845688551735712,0.5239033594085475,0,1
6,ACOR,ACORDA THERAPEUTICS INC,-1.3004164798208309,-0.375963345666932,-0.4344979219635832,-0.26691083965578416,-0.14464785018754234,1.0,-0.023129441203082468,-0.09699475816774666,-0.29190016521111994,-0.27661592103360977,-0.31799327607756395,0.1673410507114202,0.5511921226779297,0.5291504009446464,0.6975121969055234,0.0397690062085999,0.34781900909622054,-0.16651135266172104,-0.1410802968650408,1,1
7,ACRX,ACELRX PHARMACEUTICALS INC,-1.4663353198047555,-0.22443795925477245,-0.2617383953295016,-0.2970541369677187,-0.3909556740198961,0.0,-0.015986245212544884,1.017916055026943,-0.28877295138683035,-0.17661297395007827,-2.189620284868397e-16,-0.7501227027164628,-0.28164380484139423,-0.27725303785210587,-0.1512421925807045,-1.4404720264297248,-0.3437942838909331,-0.001230849145130782,-0.32901046059453315,1,0
8,ACTV,ACTIVE NETWORK INC,0.1928530800344908,0.38166358639386594,0.4292997112068249,-0.13939216904478996,-0.331042960114729,1.0,-0.014532320364913342,-1.1174653455943784,0.0349071906765416,-0.05660943744984047,-0.14179285929908805,0.8796576294597765,0.37753149789731166,0.4277550493894992,0.33493750625121244,0.5035355099965729,-0.26694836244791603,0.045992151859609295,1.290080180767247,1,1
9,ACW,ACCURIDE CORP,-0.802659959869057,0.5331889728060255,0.6020592378409065,-0.36025783919559584,-0.2911011508446176,1.0,-0.0018894956028999205,-0.9833977905080847,-0.15153274857980026,-0.05660943744984047,-0.004142182097664681,-0.4594975385871334,-0.6660861614985932,-0.680558221894926,-0.7939882351042556,-0.46635060294813774,0.3222037019485482,-0.35540335668068135,0.03239370042372136,1,0
10,ADKU,"ADCARE HEALTH SYSTEMS, INC",0.0,2.691631564960055e-16,-3.068825667080006e-16,4.9350472097353294e-17,0.0,0.8590909090909091,1.54399906617972e-17,7.945051388902299e-17,0.0,0.0,-2.189620284868397e-16,-0.7615197679764365,-0.9601147325557243,-0.9619820547826815,-1.0329579175809607,-0.8814110355620314,-0.44625551248162254,-0.6505471129603069,-1.022906449749582,1,1
11,ADLS,"Advanced Life Sciences Holdings, Inc.",-1.4663353198047555,-0.9820648913155704,-0.9527765018658282,-0.2769123012900215,-0.3376999283264142,1.0,-2.5278626689293713,0.25052383436509906,-0.3036512060203155,-0.21661415278349086,-0.32109158476088767,-1.2117038457453977,-1.2809734107218187,-1.2821016646925034,-1.2884082678146798,-0.6230570928125669,-1.0097922697304145,-0.9338851189887473,-1.0807311155125026,1,1
12,ADZA,ADEZA BIOMEDICAL CORP,0.35877192001841546,0.07861281356954675,0.08378065793866164,-0.08660664580769278,-0.1579617866109128,1.0,-0.009601618707728106,0.3801067143499555,-0.3223046270037106,-0.3466179839920818,-0.30428457626094335,-1.4795348793547798,-1.2912644107088183,-1.3311439061589725,-1.2636872661791585,-0.8898816566357843,-1.2147147269117933,-0.9102736184863772,-0.9361694511052008,0,1
