,ticker,company_name,offer_price,price_range_higher_bound,price_range_lower_bound,first_day_trading_price,days,top_tier_dummy,positive_eps_dummy,prior_nasdaq_15day_returns,share_overhang,up_revision,sales,number_of_sentences,number_of_words,number_of_real_words,number_of_long_sentences,number_of_long_words,number_of_positive_words,number_of_negative_words,number_of_uncertain_words,pre_IPO_price_revision,post_IPO_initial_return
0,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,0.29166666666666663,0.1562500000000001,0.21875000000000006,0.3304565838152333,0.4628099173553718,1.0,0.6259842519685038,0.6015934730650019,0.630491077314157,0.6298311109297252,0.3268049350054124,0.47672778561354023,0.5140399696433088,0.5235744372480637,0.47046843177189407,0.5360744763382467,0.44999999999999996,0.5723922608767966,0.45748987854251016,0,1
1,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,0.2083333333333333,0.18750000000000006,0.1875,0.20183742676991565,0.5898760330578512,0.0,0.1889763779527559,0.3367492838151138,0.5046650941295763,0.20518929115653417,0.25179703566307754,0.9294781382228492,0.8965764398347246,0.8870419855971737,0.8961303462321792,0.8696664080682699,0.5142857142857142,1.0,0.854251012145749,1,0
2,ACAD,ACADIA PHARMACEUTICALS INC,0.16666666666666663,0.4375000000000001,0.43750000000000006,0.18652561667048295,0.33057851239669417,1.0,0.2637795275590551,0.5494106389328474,0.33747280921059697,0.3761026221243823,0.15135484230490193,0.09732016925246828,0.19963740618939202,0.21672177181937585,0.11812627291242361,0.2529092319627618,0.44285714285714284,0.11479630218297959,0.1376518218623482,1,0
3,ACHN,ACHILLION PHARMACEUTICALS INC,0.35416666666666663,0.5625000000000001,0.5625000000000001,0.34493321199650273,0.8223140495867768,1.0,0.32874015748031493,0.5450916676335797,0.3024607680836272,0.3475502499397549,0.16088501118405324,0.2764456981664316,0.3259971329791719,0.34304089859142173,0.21792260692464357,0.395655546935609,0.5785714285714285,0.2895117340276277,0.3400809716599191,1,1
4,ACLI,AMERICAN COMMERCIAL LINES INC. ,0.75,0.8750000000000002,0.8750000000000001,0.5854677549740809,0.28925619834710736,1.0,0.5216535433070866,0.20226652921671678,0.5261989756651736,0.5344100278065335,0.8091664064111426,0.6205923836389281,0.6030441015262669,0.5967661578875855,0.5417515274949083,0.5593483320403414,0.4857142857142857,0.6977869786039329,0.5708502024291499,0,1
5,ACOM,Ancestry.com Inc. ,0.43749999999999994,0.4687500000000001,0.46875000000000006,0.39532295470832557,0.3471074380165289,1.0,0.5196850393700787,0.06080267447124438,0.643739319836278,0.4969300978954952,0.5357267865799583,0.533145275035261,0.7366557045282064,0.6310974228905295,0.5254582484725051,0.6330488750969744,0.44999999999999996,0.4804872393818474,0.6275303643724697,0,1
6,ACOR,ACORDA THERAPEUTICS INC,0.12499999999999994,0.3750000000000001,0.375,0.187082409040918,0.4876033057851239,1.0,0.13976377952755903,0.44572581503680175,0.37299413493156264,0.4032596362331403,0.12951770516060374,0.5119887165021157,0.6421705034151277,0.6319579691109198,0.6293279022403259,0.5422808378588053,0.5928571428571429,0.5253863368169027,0.4412955465587045,1,1
7,ACRX,ACELRX PHARMACEUTICALS INC,0.08333333333333331,0.4375000000000001,0.43750000000000006,0.12667039038628264,0.33471074380165283,0.0,0.3622047244094488,0.6736677106942048,0.37799828286888215,0.5234978951978967,0.7453712547075549,0.2849083215796897,0.451091997638924,0.4554554101182119,0.4195519348268839,0.0,0.39999999999999997,0.584824115158043,0.3886639676113361,1,0
8,ACTV,ACTIVE NETWORK INC,0.49999999999999994,0.6875000000000001,0.6875000000000001,0.44265034602024766,0.3719008264462809,1.0,0.40748031496062986,0.23709208630460826,0.7328593229051051,0.6449749223879397,0.6065561552447094,0.688293370944993,0.6023273463192511,0.6097649350061144,0.539714867617108,0.7121799844840963,0.4214285714285714,0.6011606445788756,0.8421052631578948,1,1
9,ACW,ACCURIDE CORP,0.24999999999999997,0.7500000000000001,0.75,0.0,0.396694214876033,1.0,0.8011811023622046,0.26450200312562905,0.5576839779968978,0.6449749223879397,0.7419746548958026,0.35684062059238364,0.3628889451049835,0.3671814846686897,0.2606924643584521,0.35686578743211794,0.5857142857142857,0.4524179498309667,0.48987854251012153,1,0
10,ADKU,"ADCARE HEALTH SYSTEMS, INC",0.45156942392909893,0.5300744047619049,0.5321902901785716,0.7220146846160076,0.5773916854495366,0.8590909090909091,0.8600204773164969,0.4655562523990832,0.7037847084683103,0.696456186405314,0.7453712547075549,0.2820874471086037,0.29542963150349943,0.3055844920512704,0.2016293279022403,0.2048099301784329,0.3714285714285714,0.323895049512796,0.19433198380566807,1,1
11,ADLS,"Advanced Life Sciences Holdings, Inc.",0.08333333333333331,0.12500000000000006,0.1875,0.16703787043027496,0.36776859504132225,1.0,0.3602362204724409,0.5167754862935975,0.3536648938792827,0.47804312073093674,0.026184200367799115,0.17066290550070523,0.22181465553587987,0.23551791294895602,0.13849287169042768,0.29945694336695117,0.21428571428571425,0.17421067622684655,0.17813765182186236,1,1
12,ADZA,ADEZA BIOMEDICAL CORP,0.5416666666666666,0.5625000000000001,0.5625000000000001,0.5484410291527011,0.47933884297520657,1.0,0.5610236220472441,0.5432685178069048,0.32108193460826384,0.30155978540433526,0.25390491877815924,0.10437235543018336,0.21945357955982792,0.22478373114724398,0.14460285132382888,0.20170674941815359,0.15714285714285708,0.18813266452242677,0.21862348178137656,0,1
13,AFFY,AFFYMAX INC,0.9166666666666666,0.6250000000000001,0.625,0.9432072047655675,0.5371900826446281,1.0,0.07677165354330706,0.3806718162453798,0.29248908500583287,0.2983366557773418,0.0,0.40056417489421725,0.4230963824943081,0.4454458988178812,0.32790224032586557,0.5640031031807603,0.5857142857142857,0.5765537348440067,0.45344129554655876,0,1
14,AGAM,"AGA Medical Holdings, Inc. ",0.47916666666666663,0.5625000000000001,0.625,0.4064588286669835,0.5898760330578512,1.0,0.5433070866141732,0.5653894890525799,0.7092454197897552,0.74238454997254,0.5041335125272388,0.693935119887165,0.7633864575427944,0.7460029892658182,0.6313645621181263,0.7059736229635376,0.7071428571428571,0.6706605863491094,0.5910931174089069,1,1
15,AH,R1 RCM INC. ,0.37499999999999994,0.5625000000000001,0.5625000000000001,0.3772271907217044,0.921487603305785,1.0,0.5413385826771653,0.3367492838151138,0.9735251451676805,0.6065691047217766,0.7504398373393899,0.6403385049365303,0.742684880681339,0.7147968658000815,0.6985743380855397,0.504266873545384,0.7071428571428571,0.46187555082930615,0.5222672064777328,1,1
16,AHII,"ANIMAL HEALTH HOLDINGS, INC.",0.3333333333333333,0.3125000000000001,0.3125,0.3466035811428206,0.47520661157024785,1.0,0.5688976377952756,0.4216879827390122,0.44832441204037576,0.6744580049380737,0.7808259970785941,0.1932299012693935,0.2499789189644995,0.25757507133475244,0.1425661914460285,0.26144297905352987,0.26428571428571423,0.11479630218297959,0.23076923076923084,0,1
