,ticker,company_name,offer_price,price_range_higher_bound,price_range_lower_bound,first_day_trading_price,days,top_tier_dummy,positive_eps_dummy,prior_nasdaq_15day_returns,share_overhang,up_revision,sales,number_of_sentences,number_of_words,number_of_real_words,number_of_long_sentences,number_of_long_words,number_of_positive_words,number_of_negative_words,number_of_uncertain_words,pre_IPO_price_revision,post_IPO_initial_return
0,AATI,ADVANCED ANALOGIC TECHNOLOGIES INC,0.29166666666666663,0.15625,0.21875,0.33045658381523335,0.4628099173553719,1.0,0.6259842519685039,0.6015934730650019,0.7056314966826434,0.7184302064329895,0.5551172348247709,0.4767277856135402,0.514039969643309,0.5235744372480637,0.4704684317718942,0.5360744763382468,0.45000000000000007,0.6418051858156117,0.4574898785425101,0,1
1,ABPI,ACCENTIA BIOPHARMACEUTICALS INC,0.20833333333333331,0.1875,0.1875,0.20183742676991562,0.5898760330578513,0.0,0.1889763779527559,0.3367492838151139,0.5909452438359475,0.29655776782132803,0.47659520802965716,0.9294781382228492,0.8965764398347248,0.8870419855971738,0.8961303462321792,0.86966640806827,0.5142857142857143,1.0,0.8542510121457491,1,0
2,ACAD,ACADIA PHARMACEUTICALS INC,0.16666666666666663,0.4375,0.4375,0.18652561667048295,0.3305785123966942,1.0,0.2637795275590551,0.5494106389328475,0.4228580587935298,0.4855067211622297,0.3467482817633972,0.09732016925246828,0.19963740618939207,0.21672177181937588,0.11812627291242364,0.2529092319627618,0.44285714285714295,0.15416937920144447,0.1376518218623482,1,0
3,ACHN,ACHILLION PHARMACEUTICALS INC,0.35416666666666663,0.5625,0.5625,0.3449332119965028,0.8223140495867769,1.0,0.32874015748031493,0.5450916676335797,0.38491704571016605,0.45620634653940173,0.36077909317376544,0.2764456981664316,0.32599713297917193,0.34304089859142173,0.2179226069246436,0.395655546935609,0.5785714285714286,0.35899280046477,0.340080971659919,1,1
4,ACLI,AMERICAN COMMERCIAL LINES INC. ,0.75,0.875,0.875,0.5854677549740809,0.2892561983471075,1.0,0.5216535433070866,0.20226652921671678,0.6112185900397873,0.635825896266756,0.9008834440161947,0.620592383638928,0.6030441015262671,0.5967661578875855,0.5417515274949084,0.5593483320403414,0.48571428571428577,0.7538193524165024,0.5708502024291499,0,0
5,ACOM,Ancestry.com Inc. ,0.4375,0.46875,0.46875,0.39532295470832557,0.347107438016529,1.0,0.5196850393700787,0.06080267447124438,0.7172076610273193,0.6018801135295246,0.7286881181695638,0.533145275035261,0.7366557045282065,0.6310974228905295,0.5254582484725051,0.6330488750969745,0.45000000000000007,0.5550565086303307,0.6275303643724697,0,1
6,ACOR,ACORDA THERAPEUTICS INC,0.125,0.375,0.375,0.18708240904091802,0.487603305785124,1.0,0.13976377952755903,0.44572581503680175,0.4603007061562221,0.5126852575494949,0.31275858715063964,0.5119887165021157,0.6421705034151278,0.6319579691109198,0.6293279022403259,0.5422808378588053,0.592857142857143,0.5979726517460715,0.4412955465587045,1,1
7,ACRX,ACELRX PHARMACEUTICALS INC,0.08333333333333331,0.4375,0.4375,0.12667039038628267,0.3347107438016529,0.0,0.36220472440944884,0.6736677106942048,0.46549458336849137,0.6260365230670892,0.8644567429766882,0.2849083215796897,0.4510919976389241,0.4554554101182119,0.41955193482688397,0.0,0.4000000000000001,0.653220197838855,0.38866396761133604,1,0
8,ACTV,ACTIVE NETWORK INC,0.5,0.6875,0.6875,0.4426503460202477,0.371900826446281,1.0,0.4074803149606299,0.2370920863046083,0.7928697493883545,0.7310829490864903,0.7777731007762839,0.688293370944993,0.6023273463192512,0.6097649350061144,0.5397148676171081,0.7121799844840963,0.4214285714285715,0.6681118989328119,0.8421052631578948,1,1
9,ACW,ACCURIDE CORP,0.25,0.75,0.75,0.0,0.39669421487603307,1.0,0.8011811023622046,0.2645020031256291,0.6403622611035784,0.7310829490864903,0.8624629331978327,0.3568406205923837,0.3628889451049836,0.3671814846686897,0.26069246435845217,0.3568657874321179,0.5857142857142857,0.5276712658021132,0.4898785425101214,1,0
10,ADKU,"ADCARE HEALTH SYSTEMS, INC",0.45156942392909893,0.5300744047619048,0.5321902901785714,0.7220146846160076,0.5773916854495367,1.0,0.8600204773164969,0.4655562523990832,0.7685942634787191,0.7732499473509158,0.8644567429766882,0.2820874471086037,0.2954296315034995,0.3055844920512704,0.20162932790224036,0.20480993017843288,0.37142857142857144,0.3961214182949695,0.19433198380566802,1,1
11,ADLS,"Advanced Life Sciences Holdings, Inc.",0.08333333333333331,0.125,0.1875,0.16703787043027502,0.3677685950413223,1.0,0.36023622047244097,0.5167754862935975,0.4400528232264578,0.5844179712953828,0.09177268846227937,0.17066290550070523,0.22181465553587998,0.23551791294895602,0.1384928716904277,0.2994569433669511,0.21428571428571433,0.22722993675974013,0.17813765182186236,1,1
12,ADZA,ADEZA BIOMEDICAL CORP,0.5416666666666666,0.5625,0.5625,0.5484410291527011,0.4793388429752067,1.0,0.5610236220472441,0.5432685178069048,0.4052283292193386,0.40729146528047444,0.47897468826629264,0.10437235543018336,0.21945357955982803,0.22478373114724398,0.1446028513238289,0.2017067494181536,0.15714285714285717,0.24379814537758548,0.21862348178137653,0,1
13,AFFY,AFFYMAX INC,0.9166666666666665,0.625,0.625,0.9432072047655675,0.5371900826446282,1.0,0.07677165354330712,0.3806718162453799,0.3739128786064816,0.4037775645205961,0.0,0.4005641748942172,0.4230963824943082,0.44544589881788127,0.3279022403258656,0.5640031031807603,0.5857142857142857,0.6456343322803,0.45344129554655876,0,0
14,AGAM,"AGA Medical Holdings, Inc. ",0.47916666666666663,0.5625,0.625,0.4064588286669836,0.5898760330578513,1.0,0.5433070866141732,0.5653894890525799,0.7731828935132818,0.8098351124394443,0.7054931723467065,0.693935119887165,0.7633864575427947,0.7460029892658182,0.6313645621181264,0.7059736229635377,0.7071428571428572,0.7301515217158223,0.5910931174089069,1,1
15,AH,R1 RCM INC. ,0.375,0.5625,0.5625,0.3772271907217044,0.9214876033057852,1.0,0.5413385826771654,0.3367492838151139,0.980619583102194,0.6987620402393944,0.8674213695121994,0.6403385049365302,0.7426848806813391,0.7147968658000815,0.6985743380855397,0.504266873545384,0.7071428571428572,0.5369478711805038,0.5222672064777328,1,1
16,AHII,"ANIMAL HEALTH HOLDINGS, INC.",0.3333333333333333,0.3125,0.3125,0.3466035811428206,0.475206611570248,1.0,0.5688976377952756,0.4216879827390122,0.5365123564237346,0.7553875382666144,0.8849342646276607,0.19322990126939354,0.2499789189644996,0.2575750713347525,0.14256619144602853,0.26144297905352987,0.2642857142857143,0.15416937920144447,0.23076923076923078,0,1
17,AIMC,Altra Industrial Motion Corp. ,0.4375,0.5625,0.5625,0.3978285270127727,0.27685950413223137,1.0,0.5354330708661417,0.3806718162453799,0.5199887427423606,0.6987620402393944,0.8161392409791087,0.3653032440056418,0.45513955645501314,0.43430408985914215,0.36048879837067216,0.4685802948021722,0.5214285714285715,0.7038251334135628,0.4331983805668016,1,1
18,AIRV,AIRVANA INC,0.16666666666666663,0.1875,0.1875,0.1996102572881751,0.33884297520661155,1.0,0.7401574803149606,0.6500136453672178,0.8550520741336705,0.6377569963642085,0.7082202464752422,0.5585331452750353,0.5476431402310482,0.5630236876670139,0.515274949083503,0.4065166795965865,0.3928571428571429,0.4526529612860446,0.368421052631579,1,1
19,ALGT,Allegiant Travel CO ,0.625,0.625,0.625,0.6987751019199648,0.8140495867768596,1.0,0.6318897637795275,0.3408646605872913,0.46028315608134207,0.4855067211622297,0.6744814880855593,0.535966149506347,0.47040222615734895,0.4614792336609448,0.40122199592668034,0.3335919317300233,0.37857142857142867,0.46850336642359847,0.2631578947368421,0,1
20,ALIM,ALIMERA SCIENCES INC ,0.3333333333333333,0.625,0.625,0.3062360957888375,0.6776859504132232,1.0,0.22637795275590555,0.7026495474022931,0.6144615342479653,0.5642205798626287,0.8644567429766882,0.4809590973201692,0.5596593304663126,0.5661488292042212,0.4602851323828921,0.5965865011636928,0.47857142857142865,0.710726157452398,0.631578947368421,1,0
21,ALJ,"Alon USA Energy, Inc. ",0.5416666666666666,0.5625,0.5625,0.4802338774870406,0.28099173553719015,1.0,0.639763779527559,0.7574423208259257,0.7387236675800044,0.7054141314407927,0.8644567429766882,0.6473906911142455,0.5813306349607893,0.5624348928846415,0.5763747454175153,0.5244375484871995,0.41428571428571437,0.4418198747086499,0.2510121457489879,0,1
22,ALLI,ALLION HEALTHCARE INC,0.41666666666666663,0.4375,0.4375,0.4593541436832563,0.2396694214876033,1.0,0.33858267716535434,0.4359882228301017,0.319504617110574,0.424352094474566,0.5829000338403799,0.2073342736248237,0.2547432329876044,0.2667240364146927,0.1608961303462322,0.23972071373157486,0.21428571428571433,0.5415295552004455,0.2874493927125506,0,1
23,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",0.125,0.0625,0.0625,0.16731627325298132,0.3347107438016529,1.0,0.36023622047244097,0.643752010068883,0.46408809105437854,0.4855067211622297,0.05249149065712766,0.16361071932299015,0.253225398431571,0.2707097241722904,0.1629327902240326,0.2986811481768813,0.4214285714285715,0.2100440062454414,0.29959514170040485,1,1
24,ALTU,Altus Pharmaceuticals Inc. ,0.5,0.5625,0.5625,0.4682628301062043,0.37603305785123964,1.0,0.23425196850393704,0.409197515040535,0.49045435220999556,0.5844179712953828,0.28705300441236226,0.1847672778561354,0.34041656126148917,0.3470718782553558,0.23217922606924646,0.36772692009309543,0.45714285714285724,0.30479892605766357,0.27125506072874495,0,1
25,ALXA,Alexza Pharmaceuticals Inc. ,0.20833333333333331,0.3125,0.3125,0.5854677549740809,0.2727272727272727,1.0,0.36023622047244097,0.3953899518857923,0.5139445948999342,0.5126852575494949,0.23892025601586298,0.17912552891396333,0.30790960451977406,0.318537977263463,0.17515274949083506,0.352211016291699,0.2642857142857143,0.5037837932536913,0.3765182186234818,1,1
26,AMBA,AMBARELLA INC ,0.125,0.25,0.25,0.16870824754158045,0.5898760330578513,1.0,0.5826771653543307,0.18840316989807446,0.5563814096597737,0.538069181781792,0.6307997782308218,0.5176304654442878,0.5484020575090649,0.5697721817111282,0.5437881873727087,0.6035686578743212,0.6571428571428573,0.5182387369333541,0.8542510121457491,1,1
27,AMIS,AMIS HOLDINGS INC,0.7083333333333333,0.8125,0.8125,0.5595768765614023,0.12396694214876033,1.0,0.4271653543307087,0.5809272392361593,0.8994953245909043,0.7638115800088974,0.8085620380606969,0.5571227080394923,0.6104646260224302,0.0,0.5376782077393075,0.6283941039565555,0.33571428571428574,0.8490030176875698,0.5708502024291499,0,1
28,AMRC,"Ameresco, Inc.",0.29166666666666663,0.5625,0.5625,0.2831291925033112,0.4256198347107438,1.0,0.6062992125984252,0.6425949134902335,0.7010445732633377,0.6527815647023056,0.8407969555785028,0.7179125528913963,0.7571043089636564,0.7471352869242266,0.745417515274949,0.6974398758727697,0.9000000000000001,0.8001696525018362,0.6396761133603239,1,1
29,ANAC,"Anacor Pharmaceuticals, Inc.",0.08333333333333331,0.6875,0.6875,0.1417037976630093,0.26859504132231404,1.0,0.3248031496062992,0.32054595458108087,0.5649184615288134,0.7612696923902282,0.4407183406143447,0.382228490832158,0.4878994856227339,0.4999320621404955,0.42973523421588605,0.4864235841737781,0.7428571428571429,0.5811865912458054,0.5506072874493927,1,1
30,ANFI,Amira Nature Foods Ltd. ,0.29166666666666663,0.5,0.5,0.2667037976630092,0.1322314049586777,1.0,0.5511811023622047,0.18840316989807446,0.659709758958769,0.6639178262656822,0.7657127176691804,0.6290550070521861,0.6925541782612362,0.6873499705602609,0.6272912423625255,0.687354538401862,0.5857142857142857,0.5134620616350911,0.5789473684210527,1,0
31,ANGI,"Angie's List, Inc. ",0.41666666666666663,0.375,0.375,0.45267263523803336,0.30578512396694213,1.0,0.41141732283464566,0.20494814404583547,0.8094662765226253,0.6563605662026322,0.5719183929776858,0.534555712270804,0.664136942406611,0.6287875356673762,0.5661914460285132,0.6027928626842514,0.5142857142857143,0.5682700411795951,0.340080971659919,0,1
32,ANGO,ANGIODYNAMICS INC,0.3333333333333333,0.4375,0.4375,0.34799556339640625,0.30165289256198347,0.0,0.5334645669291338,0.5494106389328475,0.3007319722665538,0.24910089692896376,0.5210880104729781,0.2778561354019746,0.279408044523147,0.28515784229358215,0.21384928716904278,0.2986811481768813,0.34285714285714286,0.2752732420705162,0.27530364372469635,1,1
33,AONE,"B456 SYSTEMS, INC. ",0.4375,0.15625,0.1875,0.5648663985050466,0.5898760330578513,1.0,0.36023622047244097,0.9513140409818359,0.7687607051428054,0.7638115800088974,0.5901367973327146,0.5698166431593794,0.5416561261489165,0.5586303727523891,0.4765784114052954,0.5810705973622964,0.47857142857142865,0.7538193524165024,0.680161943319838,0,1
34,AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,0.625,0.8125,0.6875,0.4927617390092761,0.07851239669421488,1.0,0.5039370078740157,0.5227404482828031,0.506136160984398,0.4903214659854698,0.7196467960943428,0.36107193229901274,0.4917362340838183,0.5020607817383034,0.4154786150712832,0.5259891388673391,0.4071428571428572,0.6379514142858314,0.5425101214574899,0,0
35,APEI,AMERICAN PUBLIC EDUCATION INC,0.7083333333333333,0.75,0.8125,1.0,0.347107438016529,1.0,0.5374015748031495,0.34279774433778176,0.4264892991950897,0.46746730211618237,0.5258461086735239,0.37799717912552894,0.40509317817691215,0.4127904343493818,0.3319755600814664,0.4235841737781226,0.34285714285714286,0.4194676736347449,0.29149797570850206,0,1
36,APKT,ACME PACKET INC,0.2708333333333333,0.03125,0.09375,0.4429287488429529,0.5082644628099174,1.0,0.5078740157480315,0.7726411922291405,0.8163244442884898,0.745653255377666,0.5139336009563339,0.5853314527503526,0.5987435702841725,0.6077267992209792,0.560081466395112,0.6532195500387898,0.4357142857142858,0.7538193524165024,0.6072874493927126,0,1
